apiname,Display Name,Description,Hidden,Icon,Icon Gray
first_summon,First Summon,Summon your first god,0,,
first_territory,Landowner,Capture your first territory,0,,
tier2_territory,Expanding Influence,Capture a Tier 2 territory,0,,
tier3_territory,Rising Power,Capture a Tier 3 territory,0,,
tier4_territory,Domain Master,Capture a Tier 4 territory,0,,
god_level_10,Rising Star,Level a god to 10,0,,
god_level_20,Power Growing,Level a god to 20,0,,
god_level_30,Awakening Potential,Level a god to 30,0,,
legendary_champion,Legendary Champion,Level a legendary god to 40,0,,
first_building,Builder,Place your first building,0,,
first_dungeon_clear,Dungeon Delver,Clear your first dungeon,0,,
five_gods,Pantheon Starter,Collect 5 gods,0,,
ten_gods,Divine Assembly,Collect 10 gods,0,,
twenty_gods,Growing Pantheon,Collect 20 gods,0,,
fifty_gods,Olympian Council,Collect 50 gods,0,,
ten_territories,Empire Builder,Control 10 territories,0,,
twenty_territories,Realm Expander,Control 20 territories,0,,
first_battle_win,Victor,Win your first battle,0,,
ten_battles,Seasoned Warrior,Win 10 battles,0,,
fifty_battles,Battle Hardened,Win 50 battles,0,,
hundred_battles,War God,Win 100 battles,0,,
first_sacrifice,Blood Offering,Sacrifice your first god,0,,
ten_sacrifices,Collector of Souls,Sacrifice 10 gods,0,,
first_legendary,Legendary Find,Summon your first legendary god,0,,
five_legendaries,Legendary Collector,Collect 5 legendary gods,0,,
first_epic,Epic Discovery,Summon your first epic god,0,,
tower_floor_10,Tower Climber,Reach floor 10 in the Tower,0,,
tower_floor_25,Tower Ascender,Reach floor 25 in the Tower,0,,
tower_floor_50,Tower Master,Reach floor 50 in the Tower,1,,
first_arena_win,Arena Champion,Win your first arena battle,0,,
ten_arena_wins,Arena Gladiator,Win 10 arena battles,0,,
max_level_god,Ascended Deity,Reach maximum level with any god,1,,
all_elements,Elemental Master,Collect at least one god of each element,0,,
full_team_legendary,Legendary Squad,Field a team of 4 legendary gods,1,,
first_awakening,Awakened Power,Awaken your first god,0,,
dungeon_clear_10,Dungeon Explorer,Clear 10 dungeons,0,,
dungeon_clear_50,Dungeon Conqueror,Clear 50 dungeons,0,,
first_equipment,Armed and Ready,Equip your first piece of equipment,0,,
full_equipment,Fully Equipped,Fully equip one god with all 6 slots,0,,
speed_demon,Speed Demon,???,1,,
underdog,Underdog Victory,???,1,,
no_damage,Untouchable,???,1,,
one_shot,One Punch God,???,1,,
comeback_kid,Comeback Kid,???,1,,
summoning_spree,Summoning Spree,???,1,,
whale,Devoted Summoner,???,1,,
element_team_fire,Inferno Squad,???,1,,
tower_no_deaths,Perfect Climb,???,1,,
night_owl,Night Owl,???,1,,
